,Brazil,China,Germany,Greece,India,US
2017-02-10,66125.0,3196.7,11666.97,623.79,28334.25,2316.1
2017-02-13,66968.0,3216.84,11774.43,629.14,28351.62,2328.25
2017-02-14,66713.0,3217.93,11771.81,633.32,28339.31,2337.58
2017-02-15,67976.0,3212.99,11793.93,626.29,28155.56,2349.25
2017-02-16,67814.0,3229.62,11757.24,629.36,28301.27,2347.22
2017-02-17,67748.0,3202.08,11757.02,639.46,28468.75,2351.16
2017-02-21,69052.0,3253.33,11967.49,655.2,28761.59,2365.38
2017-02-22,68590.0,3261.22,11998.59,647.14,28864.71,2362.82
2017-02-23,67461.0,3251.38,11947.83,649.52,28892.97,2363.81
2017-03-01,66989.0,3246.93,12067.19,656.17,28984.49,2395.96
2017-03-02,65855.0,3230.03,12059.57,656.04,28839.79,2381.92
2017-03-03,66786.0,3218.31,12027.36,649.73,28832.45,2383.12
2017-03-06,66341.0,3233.87,11958.4,643.5,29048.19,2375.31
2017-03-07,65742.0,3242.41,11966.14,643.16,28999.56,2368.39
2017-03-08,64718.0,3240.66,11967.31,649.31,28901.94,2362.98
2017-03-09,64585.0,3216.75,11978.39,648.85,28929.13,2364.87
2017-03-10,64675.0,3212.76,11963.18,648.59,28946.23,2372.6
2017-03-14,64699.0,3239.33,11988.79,638.92,29442.63,2365.45
2017-03-15,66235.0,3241.76,12009.87,632.97,29398.11,2385.26
2017-03-16,65783.0,3268.94,12083.18,636.13,29585.85,2381.38
2017-03-17,64210.0,3237.45,12095.24,644.77,29648.99,2378.25
2017-03-20,64884.0,3250.81,12052.9,644.12,29518.74,2373.47
2017-03-21,62980.0,3261.61,11962.13,640.42,29485.45,2344.02
2017-03-22,63521.0,3245.22,11904.12,640.65,29167.68,2348.45
2017-03-23,63531.0,3248.55,12039.68,640.2,29332.16,2345.96
2017-03-24,63854.0,3269.45,12064.27,635.66,29421.4,2343.98
2017-03-27,64308.0,3266.96,11996.07,646.57,29237.15,2341.59
2017-03-28,64640.0,3252.95,12149.42,664.52,29409.52,2358.57
2017-03-29,65528.0,3241.31,12203.0,668.55,29531.43,2361.13
2017-03-30,65266.0,3210.24,12256.43,670.42,29647.42,2368.06
2017-03-31,64984.0,3222.51,12312.87,666.06,29620.5,2362.72
2017-04-05,64775.0,3270.31,12217.54,669.97,29974.24,2352.95
2017-04-06,64223.0,3281.0,12230.89,671.15,29927.34,2357.49
2017-04-07,64593.0,3286.62,12225.06,681.08,29706.61,2355.54
2017-04-10,64650.0,3269.39,12200.52,681.46,29575.74,2357.16
2017-04-11,64360.0,3288.97,12139.35,680.06,29788.35,2353.78
2017-04-12,63892.0,3273.83,12154.7,685.19,29643.48,2344.93
2017-04-13,62826.0,3275.96,12109.0,683.57,29461.45,2328.95
2017-04-18,64159.0,3196.71,12000.44,677.3,29319.1,2342.19
2017-04-19,63407.0,3170.69,12016.45,678.96,29336.57,2338.17
2017-04-20,63761.0,3172.1,12027.32,674.4,29422.39,2355.84
2017-04-24,64389.0,3129.53,12454.98,683.3,29655.84,2374.15
2017-04-25,65148.0,3134.57,12467.04,697.32,29943.24,2388.61
2017-04-26,64862.0,3140.85,12472.8,706.4,30133.35,2387.45
2017-04-27,64677.0,3152.19,12443.79,706.51,30029.74,2388.77
2017-04-28,65403.0,3154.66,12438.01,712.17,29918.4,2384.2
2017-05-02,66722.0,3143.71,12507.9,733.93,29921.18,2391.17
2017-05-03,66094.0,3135.35,12527.84,748.61,29894.8,2388.13
2017-05-04,64863.0,3127.37,12647.78,748.92,30126.21,2389.52
2017-05-05,65710.0,3103.04,12716.89,753.99,29858.8,2399.29
2017-05-08,65526.0,3078.61,12694.55,763.42,29926.15,2399.38
2017-05-09,66278.0,3080.53,12749.12,778.37,29933.25,2396.92
2017-05-10,67350.0,3052.78,12757.46,791.97,30248.17,2399.63
2017-05-11,67538.0,3061.5,12711.06,797.16,30250.98,2394.44
2017-05-12,68222.0,3083.51,12770.41,789.13,30188.15,2390.9
2017-05-15,68474.0,3090.23,12807.04,782.32,30322.12,2402.32
2017-05-16,68685.0,3112.96,12804.53,788.78,30582.6,2400.67
2017-05-17,67540.0,3104.44,12631.61,789.08,30658.77,2357.03
2017-05-18,61597.0,3090.14,12590.06,782.83,30434.79,2365.72
2017-05-19,62639.0,3090.63,12638.69,784.17,30464.92,2381.73
2017-05-22,61673.0,3075.68,12619.46,788.53,30570.97,2394.02
2017-05-23,62662.0,3061.95,12659.15,783.03,30365.25,2398.42
2017-05-24,63257.0,3064.08,12642.87,766.03,30301.64,2404.39
2017-05-25,63227.0,3107.83,12621.72,771.82,30750.03,2415.07
2017-05-26,64085.0,3110.06,12602.18,778.35,31028.21,2415.82
2017-05-31,62711.0,3117.18,12615.06,775.24,31145.8,2411.8
2017-06-01,62289.0,3102.62,12664.92,781.85,31137.59,2430.06
2017-06-02,62511.0,3105.54,12822.94,786.57,31273.29,2439.07
2017-06-06,62955.0,3102.13,12690.12,777.53,31190.56,2429.33
2017-06-07,63171.0,3140.32,12672.49,774.29,31271.28,2433.14
2017-06-08,62756.0,3150.33,12713.58,779.05,31213.36,2433.79
2017-06-09,62211.0,3158.4,12815.72,782.1,31262.06,2431.77
2017-06-12,61700.0,3139.88,12690.44,784.6,31095.7,2429.39
2017-06-13,61829.0,3153.74,12764.98,797.13,31103.49,2440.35
2017-06-14,61923.0,3130.67,12805.95,800.97,31155.91,2437.92
2017-06-16,61626.0,3123.17,12752.73,806.12,31056.4,2433.15
2017-06-19,62014.0,3144.37,12888.95,821.22,31311.57,2453.46
2017-06-20,60766.0,3140.01,12814.79,827.01,31297.53,2437.03
2017-06-21,60762.0,3156.21,12774.26,823.32,31283.64,2435.61
2017-06-22,61272.0,3147.45,12794.0,814.81,31290.74,2434.5
2017-06-23,61087.0,3157.87,12733.41,820.52,31138.21,2438.3
2017-06-27,61675.0,3191.2,12671.02,822.77,30958.25,2419.38
2017-06-28,62018.0,3173.2,12647.27,822.62,30834.32,2440.69
2017-06-29,62239.0,3188.06,12416.19,819.72,30857.52,2419.7
2017-06-30,62900.0,3192.43,12325.12,823.74,30921.61,2423.41
2017-07-03,63280.0,3195.91,12475.31,827.65,31221.62,2429.01
2017-07-05,63154.0,3207.13,12453.68,841.34,31245.56,2432.54
2017-07-06,62470.0,3212.44,12381.25,843.25,31369.34,2409.75
2017-07-07,62322.0,3217.96,12388.68,837.43,31360.63,2425.18
2017-07-10,63025.0,3212.63,12445.92,843.83,31715.64,2427.43
2017-07-11,63832.0,3203.04,12437.02,844.33,31747.09,2425.53
2017-07-12,64836.0,3197.54,12626.58,843.22,31804.82,2443.25
2017-07-13,65178.0,3218.16,12641.33,853.54,32037.38,2447.83
2017-07-14,65436.0,3222.42,12631.72,856.47,32020.75,2459.27
2017-07-17,65212.0,3176.46,12587.16,858.08,32074.78,2459.14
2017-07-18,65338.0,3187.57,12430.39,848.07,31710.99,2460.61
2017-07-19,65180.0,3230.98,12452.05,853.54,31955.35,2473.83
2017-07-20,64938.0,3244.86,12447.25,854.54,31904.4,2473.45
2017-07-21,64684.0,3237.98,12240.06,845.97,32028.89,2472.54
2017-07-24,65100.0,3250.6,12208.95,849.07,32245.87,2469.91
2017-07-25,65668.0,3243.69,12264.31,843.05,32228.27,2477.13
2017-07-26,65011.0,3247.67,12305.11,830.21,32382.46,2477.83
2017-07-27,65277.0,3249.78,12212.04,818.63,32383.3,2475.42
2017-07-28,65497.0,3253.24,12162.7,820.02,32309.88,2472.1
2017-07-31,65920.0,3273.03,12118.25,812.21,32514.94,2470.3
2017-08-01,66516.0,3292.64,12251.29,817.74,32575.17,2476.35
2017-08-02,67136.0,3285.06,12181.48,826.02,32476.74,2477.57
2017-08-03,66777.0,3272.93,12154.72,825.8,32237.88,2472.16
2017-08-04,66898.0,3262.08,12297.72,829.5,32325.41,2476.83
2017-08-07,67940.0,3279.46,12257.17,827.86,32273.67,2480.91
2017-08-08,67899.0,3281.87,12292.05,830.44,32014.19,2474.92
2017-08-09,67671.0,3275.57,12154.0,833.61,31797.84,2474.02
2017-08-10,66992.0,3261.75,12014.3,833.78,31531.33,2438.21
2017-08-11,67359.0,3208.54,12014.06,823.55,31213.59,2441.32
2017-08-14,68285.0,3237.36,12165.12,827.77,31449.03,2465.84
2017-08-16,68594.0,3246.45,12263.86,842.41,31770.89,2468.11
2017-08-17,67977.0,3268.43,12203.46,832.06,31795.46,2430.01
2017-08-18,68715.0,3268.72,12165.19,824.85,31524.68,2425.55
2017-08-21,68635.0,3286.91,12065.99,826.46,31258.85,2428.37
2017-08-22,70011.0,3290.23,12229.34,832.78,31291.85,2452.51
2017-08-23,70478.0,3287.7,12174.3,829.16,31568.01,2444.04
2017-08-24,71133.0,3271.51,12180.83,835.55,31596.06,2438.97
2017-08-28,71017.0,3362.65,12123.47,838.47,31750.82,2444.24
2017-08-29,71330.0,3365.23,11945.88,822.67,31388.39,2446.3
2017-08-30,70886.0,3363.63,12002.47,823.65,31646.46,2457.59
2017-08-31,70835.0,3360.81,12055.84,825.48,31730.49,2471.65
2017-09-01,71923.0,3367.12,12142.64,818.66,31892.23,2476.55
2017-09-05,72151.0,3384.32,12123.71,812.85,31809.55,2457.85
2017-09-06,73412.0,3385.39,12214.54,811.7,31661.97,2465.54
2017-09-08,73079.0,3365.24,12303.98,802.72,31687.52,2461.43
2017-09-11,74319.0,3376.42,12475.24,806.06,31882.16,2488.11
2017-09-12,74539.0,3379.49,12524.77,810.75,32158.66,2496.48
2017-09-13,74788.0,3384.15,12553.57,809.98,32186.41,2498.37
2017-09-14,74657.0,3371.43,12540.45,790.97,32241.93,2495.62
2017-09-15,75757.0,3353.62,12518.81,776.2,32272.61,2500.23
2017-09-18,75990.0,3362.86,12559.39,760.79,32423.76,2503.87
2017-09-19,75974.0,3356.84,12561.79,762.86,32402.37,2506.65
2017-09-20,76004.0,3366.0,12569.17,757.98,32400.51,2508.24
2017-09-21,75604.0,3357.81,12600.03,765.99,32370.04,2500.6
2017-09-22,75390.0,3352.53,12592.35,773.94,31922.44,2502.22
2017-09-25,74443.0,3341.55,12594.81,742.49,31626.63,2496.66
2017-09-26,74319.0,3343.58,12605.2,740.37,31599.76,2496.84
2017-09-27,73797.0,3345.27,12657.41,736.64,31159.81,2507.04
2017-09-28,73567.0,3339.64,12704.65,754.76,31282.48,2510.06
2017-09-29,74294.0,3348.94,12828.86,755.61,31283.72,2519.36
2017-10-09,75727.0,3374.38,12976.4,750.17,31846.89,2544.73
2017-10-10,76897.0,3382.99,12949.25,755.03,31924.41,2550.64
2017-10-11,76660.0,3388.28,12970.68,748.61,31833.99,2555.24
2017-10-13,76990.0,3390.52,12991.87,761.35,32432.69,2553.17
2017-10-16,76892.0,3378.47,13003.7,765.72,32633.64,2557.64
2017-10-17,76201.0,3372.04,12995.06,761.82,32609.16,2559.36
2017-10-18,76591.0,3381.79,13043.03,757.49,32584.35,2561.26
2017-10-19,76283.0,3370.17,12990.1,746.45,32572.93,2562.1
2017-10-23,75413.0,3380.7,13003.14,734.52,32506.72,2564.98
2017-10-24,76350.0,3388.25,13013.19,737.19,32607.34,2569.13
2017-10-25,76671.0,3396.9,12953.41,737.25,33042.5,2557.15
2017-10-26,75896.0,3407.57,13133.28,739.8,33147.13,2560.4
2017-10-27,75976.0,3416.81,13217.54,739.22,33157.22,2581.07
2017-10-30,74800.0,3390.34,13229.57,743.57,33266.16,2572.83
